year,state,age,total_marriages,marriage_rate,actual_population,marriage_rate_per_1000_population
2017,Negeri Sembilan,55-59,183,58.53,55100,3.32123412
2021,Johor,50-54,549,37.5,214000,2.565420561
2017,Negeri Sembilan,60-64,98,30.84,46800,2.094017094
2021,Johor,55-59,384,30.1,191800,2.002085506
2017,Negeri Sembilan,65+,111,12.93,81600,1.360294118
2021,Johor,60-64,240,19.1,161400,1.486988848
2017,Negeri Sembilan,all,17774,58.54,1114000,15.9551167
2021,Johor,65+,254,6.7,258600,0.98221191
2017,Pahang,< 20,1028,3.7,579500,1.773943054
2022,Johor,all,52705,46.9,4028300,13.08368294
2017,Pahang,20-24,6165,113.47,169400,36.3931523
2022,Johor,< 20,886,1.4,1262800,0.701615458
2017,Pahang,25-29,10426,378.21,156500,66.61980831
2022,Johor,20-24,10921,72.5,392600,27.81711666
2017,Pahang,30-34,3855,270.24,141100,27.3210489
2022,Johor,25-29,21660,237.7,363800,59.53820781
2017,Pahang,35-39,1558,187.63,113400,13.73897707
2022,Johor,30-34,9312,192.7,333600,27.91366906
2017,Pahang,40-44,756,147.76,87600,8.630136986
2022,Johor,35-39,4075,125.5,319000,12.77429467
2017,Pahang,45-49,476,118.3,81300,5.854858549
2022,Johor,40-44,2146,156.2,276200,7.769732078
2017,Pahang,50-54,360,87.83,78200,4.603580563
2022,Johor,45-49,1356,114,235900,5.748198389
2017,Pahang,55-59,196,57.01,71800,2.729805014
2022,Johor,50-54,892,54.7,215600,4.13729128
2017,Pahang,60-64,153,41.62,57500,2.660869565
2022,Johor,55-59,610,41.8,193900,3.145951521
2017,Pahang,65+,213,15.66,110800,1.922382671
2022,Johor,60-64,404,27.8,164800,2.451456311
2017,Pahang,all,25186,56.78,1647000,15.29204614
2022,Johor,65+,443,10.4,269900,1.641348648
2017,Perak,< 20,929,2.4,792400,1.172387683
2017,Perak,20-24,7956,95.4,253000,31.44664032
2017,Perak,25-29,14925,296.08,226500,65.89403974
2017,Perak,30-34,6511,317.01,174600,37.29095074
2017,Perak,35-39,2535,217.79,142100,17.83954961
2017,Perak,40-44,1277,151.95,133200,9.587087087
2017,Perak,45-49,832,105.93,137000,6.072992701
2017,Perak,50-54,524,62.05,140700,3.724235963
2017,Perak,55-59,369,46.66,133200,2.77027027
2017,Perak,60-64,225,29.4,114000,1.973684211
2017,Perak,65+,254,10.15,246500,1.030425963
2017,Perak,all,36337,55.55,2493200,14.57444248
2017,Perlis,< 20,167,4.13,82500,2.024242424
2018,Kedah,all,30380,50.7,2163000,14.04530744
2017,Perlis,20-24,1064,99.07,28200,37.73049645
2018,Kedah,< 20,825,2.3,742300,1.111410481
2017,Perlis,25-29,1648,332.13,25800,63.87596899
2018,Kedah,20-24,8362,96.9,226800,36.86948854
2017,Perlis,30-34,526,282.86,18900,27.83068783
2018,Kedah,25-29,12657,314.4,193600,65.37706612
2017,Perlis,35-39,217,234.21,14100,15.39007092
2018,Kedah,30-34,4425,275.4,155200,28.51159794
2017,Perlis,40-44,107,156.45,12100,8.842975207
2018,Kedah,35-39,1640,178.9,133500,12.28464419
2017,Perlis,45-49,65,115.82,12400,5.241935484
2018,Kedah,40-44,761,115.4,122400,6.217320261
2017,Perlis,50-54,54,80.11,13400,4.029850746
2018,Kedah,45-49,545,97.5,117900,4.622561493
2017,Perlis,55-59,43,62.49,12400,3.467741935
2018,Kedah,50-54,389,68,113800,3.41827768
2017,Perlis,60-64,41,64.78,10600,3.867924528
2018,Kedah,55-59,295,59.7,104500,2.822966507
2017,Perlis,65+,48,23.08,21600,2.222222222
2018,Kedah,60-64,190,36,87000,2.183908046
2017,Perlis,all,3980,58.06,252000,15.79365079
2018,Kedah,65+,291,17.3,165500,1.758308157
2017,Pulau Pinang,< 20,373,1.6,477300,0.781479154
2019,Kedah,all,30804,51.5,2173700,14.17122878
2017,Pulau Pinang,20-24,3840,55.64,172100,22.31260895
2019,Kedah,< 20,787,2.3,734100,1.072061027
2017,Pulau Pinang,25-29,7514,169.44,173100,43.40843443
2019,Kedah,20-24,8049,93.1,228100,35.28715476
2017,Pulau Pinang,30-34,3690,162.75,159300,23.16384181
2019,Kedah,25-29,12959,314.3,198300,65.35047907
2017,Pulau Pinang,35-39,1594,127.44,133500,11.94007491
2019,Kedah,30-34,4557,281.6,157200,28.98854962
2017,Pulau Pinang,40-44,701,81.86,118400,5.920608108
2019,Kedah,35-39,1743,187.4,135200,12.89201183
2017,Pulau Pinang,45-49,362,48.73,110200,3.284936479
2019,Kedah,40-44,857,129.4,122100,7.018837019
